path.a	path.b	path.a.length	path.b.length	intersection	jaccard	euclidean
HG00673#1#JAHBBZ010000075.1_16660170_16973851_0	HG00673#1#JAHBBZ010000075.1_16660170_16973851_0	313681	313681	313681	1	0
HG02080#2#JAHEOV010000017.1_16662177_17164189_0	HG02293.hifiasm_filt_pat.fa:h1tg000025l_28494233_28996189_1	502012	501956	501781	0.999192	20.1494
HG04228.hifiasm_filt_pat.fa:h1tg000014l_141188035_141500777_1	NA18906#1#JAHEOO010000054.1_2103477_2510435_1	312742	406958	312472	0.767315	307.825
HG03579#1#JAGYVU010000029.1_91404_499180_0	HG02004.hifiasm_filt_mat.fa:h2tg000002l_25152988_25559927_1	407776	406939	406405	0.995334	43.6463
HG03486#1#JAHEOQ010000123.1_16677696_17085575_0	HG01106#1#JAHAMC010000004.1_31121050_31623013_0	407879	501963	407785	0.812228	307.037
HG02055#2#JAHEPJ010000017.1_24870122_25298560_1	HG02723#2#JAHEOT010000034.1_19776337_20321518_1	428438	545181	428315	0.785461	342.037
HG01175#1#JAHAMA010000003.1_33204707_33808232_1	HG02004.verkko_filt_mat.fa:haplotype1-0000022_97828542_98235483_0	603525	406941	398213	0.650406	462.645
HG03927.hifiasm_filt_mat.fa:h2tg000005l_102886351_103294201_0	HG02109#1#JAHEPG010000026.1_16673035_17080816_0	407850	407781	405852	0.990417	62.6658
HG02809.hifiasm_filt_pat.fa:h1tg000007l_103415673_103822536_0	HG03710.hifiasm_filt_mat.fa:h2tg000025l_86820256_87133924_0	406863	313668	310751	0.758336	314.689
HG03098#2#JAHEPL010000003.1_93803759_94117426_0	HG01928#1#JAGYVQ010000053.1_16676493_17083407_0	313667	406914	312490	0.765736	309.194
HG02559#2#JAGYVJ010000037.1_52167780_52574597_1	HG02257#1#JAGYVI010000005.1_101835875_102242843_0	406817	406968	406035	0.995794	41.4126
HG01258#2#JAGYYU010000072.1_51562603_51970395_0	HG02717#2#JAHAOR010000006.1_19663827_20070693_1	407792	406866	406684	0.996838	35.9166
HG01928#1#JAGYVQ010000195.1_211_358290_0	HG01952#1#JAHAME010000077.1_16663592_16976329_0	358079	312737	99612	0.17439	686.726
HG002.hifiasm_filt_pat.fa:h1tg000009l_103664409_104071309_0	HG01099.verkko_filt_mat.fa:haplotype1-0000034_142513097_142920876_1	406900	407779	404863	0.987914	70.3776
HG01361#1#JAGYYX010000012.1_51565085_51878780_0	HG02723#1#JAHEOU010000204.1_2102082_2414876_1	313695	312794	310640	0.983508	72.1734
HG02723#2#JAHEOT010000034.1_19776337_20321518_1	HG005#2#JAHEPN010000023.1_51542210_51950070_0	545181	407860	405583	0.740848	376.663
HG01106#2#JAHAMB010000008.1_19904771_20405763_1	HG02293.hifiasm_filt_mat.fa:h2tg000006l_103456831_103769570_0	500992	312739	312504	0.623478	434.423
HG02647.verkko_filt_pat.fa:haplotype2-0000857_103738150_104051769_0	HG02572#1#JAHAOW010000072.1_9428131_9835964_0	313619	407833	311648	0.760481	313.299
HG01099.hifiasm_filt_mat.fa:h2tg000003l_54930251_55338030_1	chr1_chm13_103304997_103901127_0	407779	596130	407421	0.683033	434.818
HG02080#1#JAHEOW010000048.1_16689583_17097287_0	chr1_hg38_103456064_103863972_0	407704	407908	407352	0.997776	30.133
chr1_hg38_103456064_103863972_0	HG03710.hifiasm_filt_pat.fa:h1tg000035l_103311655_103704662_0	407908	393007	298269	0.593398	452.081
HG01243#1#JAHEOY010000013.1_90081_424495_0	HG03098#1#JAHEPM010000059.1_16676208_17105596_0	334414	429388	333778	0.776185	310.235
HG02293.hifiasm_filt_mat.fa:h2tg000006l_103456831_103769570_0	HG02717#1#JAHAOS010000015.1_16660311_17067250_0	312739	406939	310724	0.759802	313.417
HG04228.hifiasm_filt_mat.fa:h2tg000030l_122_365721_0	HG01258#2#JAGYYU010000072.1_51562603_51970395_0	365599	407792	269412	0.53457	484.321
HG03927.verkko_filt_mat.fa:haplotype1-0000009_134765170_135173010_1	HG03927.verkko_filt_pat.fa:haplotype2-0000800_29002142_29504057_1	407840	501914	407624	0.81179	307.418
HG01123#2#JAGYYY010000006.1_51579630_51892388_0	HG01071#1#JAHBCF010000053.1_26607100_27108065_1	312758	500965	312539	0.623601	434.333
HG01109#1#JAHEPA010000099.1_2104245_2511104_1	HG02071.verkko_filt_mat.fa:haplotype1-0000041_103610513_104018399_0	406859	407886	404799	0.987445	71.7426
HG002#2#JAHKSD010000021.1_102757493_103165350_0	HG01099.hifiasm_filt_pat.fa:h1tg000003l_56136922_56638856_1	407857	501934	407413	0.810969	308.164
HG03516#2#JAGYYS010000004.1_24452130_24859892_1	HG01361#1#JAGYYX010000012.1_51565085_51878780_0	407762	313695	313397	0.768017	307.674
HG02004.hifiasm_filt_pat.fa:h1tg000006l_139372820_140063114_1	HG02071.verkko_filt_pat.fa:haplotype2-0000736_102745972_103248026_0	690294	502054	501860	0.726819	434.313
HG01978#1#JAGYVS010000002.1_51519970_52021951_0	chr1_hg19_103998686_104406594_0	501981	407908	407753	0.812037	307.218
HG01952#1#JAHAME010000077.1_16663592_16976329_0	HG03579#1#JAGYVU010000029.1_91404_499180_0	312737	407776	310769	0.758447	314.603
HG03710.verkko_filt_mat.fa:haplotype1-0000029_102593394_102907063_0	HG01978#1#JAGYVS010000002.1_51519970_52021951_0	313669	501981	313442	0.624128	434.472
HG01358#2#JAGYZA010000086.1_556_316498_0	HG04228.verkko_filt_mat.fa:haplotype1-0000023_103429213_103930285_0	315942	501072	315805	0.630086	430.586
HG02723#1#JAHEOU010000204.1_2102082_2414876_1	HG02818#2#JAHEOR010000010.1_31775319_32183091_1	312794	407772	310725	0.75816	314.827
HG03516#1#JAGYYT010000012.1_24170958_24578778_1	NA20129#2#JAHEPD010000155.1_90039_569275_0	407820	479236	404792	0.839358	278.338
HG01258#1#JAGYYV010000004.1_56955948_57456952_1	HG02109#2#JAHEPF010000078.1_16678387_16991144_0	501004	312757	312537	0.623548	434.381
HG03710.hifiasm_filt_pat.fa:h1tg000035l_103311655_103704662_0	HG01123#1#JAGYYZ010000015.1_51528240_51935090_0	393007	406850	298389	0.595031	450.643
HG02293.hifiasm_filt_pat.fa:h1tg000025l_28494233_28996189_1	HG02004.verkko_filt_pat.fa:haplotype2-0000813_139386576_140076845_1	501956	690269	501913	0.727081	434.05
HG03453#1#JAGYVW010000157.1_2105722_2585000_1	HG01243#1#JAHEOY010000013.1_90081_424495_0	479278	334414	334190	0.696952	381.198
HG01358#1#JAGYZB010000020.1_27445742_27855492_1	HG02630#1#JAHAOQ010000102.1_16672145_17079089_0	409750	406944	399980	0.959843	129.36
HG00735#2#JAHBCG010000068.1_4729205_5042887_0	HG02486#1#JAGYVM010000007.1_28868414_29370339_1	313682	501925	311595	0.618229	438.654
HG02886#2#JAHAOT010000031.1_87393_401061_0	HG002.hifiasm_filt_mat.fa:h2tg000010l_40221609_40629467_1	313668	407858	313418	0.767978	307.717
HG02293.verkko_filt_pat.fa:haplotype2-0000836_148310532_148812524_1	HG01928#1#JAGYVQ010000195.1_211_358290_0	501992	358079	287817	0.502953	533.326
HG01123#1#JAGYYZ010000015.1_51528240_51935090_0	HG01258#1#JAGYYV010000004.1_56955948_57456952_1	406850	501004	406630	0.811274	307.561
HG02572#1#JAHAOW010000072.1_9428131_9835964_0	HG02300.verkko_filt_mat.fa:haplotype1-0000028_144052837_144460586_1	407833	407749	407363	0.997903	29.2575
HG01099.verkko_filt_mat.fa:haplotype1-0000034_142513097_142920876_1	HG00621#1#JAHBCD010000034.1_2122997_2624098_1	407779	501101	406527	0.809246	309.558
HG00673#2#JAHBBY010000109.1_16675383_17177395_0	HG02647.verkko_filt_mat.fa:haplotype1-0000002_103892584_104321036_0	502012	428452	385742	0.708145	398.723
NA19240#2#JAHEOL010000010.1_37445323_37853017_0	HG02257#2#JAGYVH010000034.1_98190388_98857961_0	407694	667573	404797	0.603751	515.435
HG01361#2#JAGYYW010000015.1_51517456_51831163_0	HG02572#2#JAHAOV010000024.1_4460979_4890404_1	313707	429425	311689	0.722434	346.055
HG02572#2#JAHAOV010000024.1_4460979_4890404_1	HG04228.hifiasm_filt_pat.fa:h1tg000014l_141188035_141500777_1	429425	312742	312465	0.727167	342.399
HG02004.verkko_filt_mat.fa:haplotype1-0000022_97828542_98235483_0	HG002.verkko_filt_mat.fa:haplotype1-0000005_138228497_138636354_1	406941	407857	406809	0.997108	34.3511
HG01099.hifiasm_filt_pat.fa:h1tg000003l_56136922_56638856_1	HG03540#2#JAGYVX010000148.1_1368955_1877115_0	501934	508160	489161	0.939009	178.247
HG02145#2#JAHKSF010000206.1_1005292_1413195_1	HG02145#2#JAHKSF010000206.1_1005292_1413195_1	407903	407903	407903	1	0
HG02818#2#JAHEOR010000010.1_31775319_32183091_1	HG02148#1#JAHAMG010000059.1_19799474_20206456_1	407772	406982	406453	0.995474	42.9884
HG02257#1#JAGYVI010000005.1_101835875_102242843_0	HG02622#2#JAHAON010000012.1_51551779_52031001_0	406968	479222	406161	0.846118	271.787
HG01978#2#JAGYVR010000007.1_51532241_51939176_0	HG01099.hifiasm_filt_mat.fa:h2tg000003l_54930251_55338030_1	406935	407779	406498	0.995791	41.4488
HG01099.verkko_filt_pat.fa:haplotype2-0000583_143544270_144046196_1	HG03453#2#JAGYVV010000088.1_22597550_23005370_1	501926	407820	407441	0.811143	308
HG02300.verkko_filt_pat.fa:haplotype2-0000620_143362344_143769323_1	HG02293.verkko_filt_mat.fa:haplotype1-0000039_30204405_30517145_1	406979	312740	312631	0.767969	307.339
HG03579#2#JAGYVT010000094.1_51581892_51895531_0	NA18906#2#JAHEON010000009.1_93748295_94249275_0	313639	500980	312594	0.622666	435.237
HG02886#1#JAHAOU010000178.1_62411_469262_0	HG02559#1#JAGYVK010000012.1_51505852_51913611_0	406851	407759	404842	0.987979	70.1855
HG02717#1#JAHAOS010000015.1_16660311_17067250_0	HG01099.verkko_filt_pat.fa:haplotype2-0000583_143544270_144046196_1	406939	501926	404430	0.801748	316.236
HG02071.hifiasm_filt_mat.fa:h2tg000009l_103610644_104018525_0	HG02148#2#JAHAMF010000050.1_19456870_19863761_1	407881	406891	404706	0.986929	73.212
HG02486#2#JAGYVL010000029.1_94163344_94570162_0	HG01358#2#JAGYZA010000086.1_556_316498_0	406818	315942	259134	0.558929	452.208
HG01175#2#JAHALZ010000031.1_43072077_43478977_1	HG03516#1#JAGYYT010000012.1_24170958_24578778_1	406900	407820	406510	0.995835	41.2311
NA18906#1#JAHEOO010000054.1_2103477_2510435_1	HG00621#2#JAHBCC010000031.1_16669999_17077865_0	406958	407866	404380	0.985226	77.8717
HG02622#2#JAHAON010000012.1_51551779_52031001_0	HG03710.verkko_filt_pat.fa:haplotype2-0000488_101614437_102218208_0	479222	603771	458849	0.735165	406.565
HG002.verkko_filt_mat.fa:haplotype1-0000005_138228497_138636354_1	HG02559#2#JAGYVJ010000037.1_52167780_52574597_1	407857	406817	404693	0.987102	72.7186
HG04228.verkko_filt_mat.fa:haplotype1-0000023_103429213_103930285_0	HG00673#2#JAHBBY010000109.1_16675383_17177395_0	501072	502012	500905	0.997463	35.6931
HG02559#1#JAGYVK010000012.1_51505852_51913611_0	HG00438#2#JAHBCA010000012.1_51513023_51826723_0	407759	313700	313399	0.768022	307.67
HG005#2#JAHEPN010000023.1_51542210_51950070_0	HG01361#2#JAGYYW010000015.1_51517456_51831163_0	407860	313707	313441	0.768001	307.709
HG02622#1#JAHAOO010000002.1_16673678_17080663_0	HG02300.hifiasm_filt_mat.fa:h2tg000006l_23303533_23711281_1	406985	407748	404409	0.985585	76.909
HG02300.verkko_filt_mat.fa:haplotype1-0000028_144052837_144460586_1	HG002.hifiasm_filt_pat.fa:h1tg000009l_103664409_104071309_0	407749	406900	404860	0.987972	70.2068
HG03710.verkko_filt_pat.fa:haplotype2-0000488_101614437_102218208_0	HG03540#1#JAGYVY010000208.1_95187_596142_0	603771	500955	486604	0.78723	362.654
HG00438#1#JAHBCB010000015.1_33474867_33954171_0	HG02080#2#JAHEOV010000017.1_16662177_17164189_0	479304	502012	471184	0.923651	197.352
HG03492#2#JAHEPH010000288.1_2098270_2432686_1	HG04228.verkko_filt_pat.fa:haplotype2-0000600_103806749_104119491_0	334416	312742	304730	0.88991	194.16
HG02818#1#JAHEOS010000101.1_89626_496613_0	HG01175#2#JAHALZ010000031.1_43072077_43478977_1	406987	406900	404364	0.987402	71.8262
HG00741#2#JAHALX010000013.1_51574319_51981226_0	HG02647.verkko_filt_pat.fa:haplotype2-0000857_103738150_104051769_0	406907	313619	312505	0.765904	309.057
HG002.verkko_filt_pat.fa:haplotype2-0000649_147937390_148315979_1	HG02004.hifiasm_filt_pat.fa:h1tg000006l_139372820_140063114_1	378589	690294	371537	0.532787	570.797
HG00735#1#JAHBCH010000004.1_101548252_101956125_0	HG00733#1#JAHEPQ010000019.1_46106835_46420495_0	407873	313660	313606	0.76878	307.117
HG02109#1#JAHEPG010000026.1_16673035_17080816_0	HG01106#2#JAHAMB010000008.1_19904771_20405763_1	407781	500992	404699	0.802856	315.238
HG02293.verkko_filt_mat.fa:haplotype1-0000039_30204405_30517145_1	HG00735#1#JAHBCH010000004.1_101548252_101956125_0	312740	407873	312554	0.765953	309.039
HG02004.verkko_filt_pat.fa:haplotype2-0000813_139386576_140076845_1	HG03710.verkko_filt_mat.fa:haplotype1-0000029_102593394_102907063_0	690269	313669	313405	0.45386	614.107
HG005#1#JAHEPO010000002.1_51519219_51926067_0	HG02080#1#JAHEOW010000048.1_16689583_17097287_0	406848	407704	404790	0.987866	70.5124
HG00621#2#JAHBCC010000031.1_16669999_17077865_0	HG01978#2#JAGYVR010000007.1_51532241_51939176_0	407866	406935	406761	0.996866	35.7631
HG03098#1#JAHEPM010000059.1_16676208_17105596_0	NA19240#1#JAHEOM010000047.1_30103390_30511199_1	429388	407809	377521	0.821276	286.627
HG02486#1#JAGYVM010000007.1_28868414_29370339_1	HG005#1#JAHEPO010000002.1_51519219_51926067_0	501925	406848	406580	0.809609	309.214
HG02809.verkko_filt_pat.fa:haplotype2-0001251_103421111_103827972_0	HG03098#2#JAHEPL010000003.1_93803759_94117426_0	406861	313667	310775	0.758445	314.608
HG02300.hifiasm_filt_mat.fa:h2tg000006l_23303533_23711281_1	NA19240#2#JAHEOL010000010.1_37445323_37853017_0	407748	407694	407497	0.998902	21.166
HG01106#1#JAHAMC010000004.1_31121050_31623013_0	HG02622#1#JAHAOO010000002.1_16673678_17080663_0	501963	406985	404559	0.802077	315.959
HG03486#1#JAHEOQ010000123.1_16677696_17085575_0	HG04228.hifiasm_filt_mat.fa:h2tg000030l_122_365721_0	407879	365599	271391	0.540526	480.308
HG04228.verkko_filt_pat.fa:haplotype2-0000600_103806749_104119491_0	HG00741#1#JAHALY010000007.1_18781197_19307680_1	312742	526483	310763	0.588052	466.582
HG02148#1#JAHAMG010000059.1_19799474_20206456_1	HG02145#1#JAHKSG010000134.1_2102465_2647653_1	406982	545188	404396	0.738253	378.653
HG02055#2#JAHEPJ010000017.1_24870122_25298560_1	HG02809.verkko_filt_pat.fa:haplotype2-0001251_103421111_103827972_0	428438	406861	378313	0.827844	280.487
HG03492#1#JAHEPI010000180.1_2103395_2543326_1	HG00673#1#JAHBBZ010000075.1_16660170_16973851_0	439931	313681	311677	0.705255	360.913
HG03098#2#JAHEPL010000003.1_93803759_94117426_0	HG02293.hifiasm_filt_pat.fa:h1tg000025l_28494233_28996189_1	313667	501956	313353	0.623874	434.646
HG02300.hifiasm_filt_pat.fa:h1tg000019l_103804174_104211156_0	NA18906#1#JAHEOO010000054.1_2103477_2510435_1	406982	406958	404388	0.987391	71.861
HG01928#1#JAGYVQ010000195.1_211_358290_0	HG02004.hifiasm_filt_mat.fa:h2tg000002l_25152988_25559927_1	358079	406939	193794	0.339261	614.353
HG00741#1#JAHALY010000007.1_18781197_19307680_1	HG01106#1#JAHAMC010000004.1_31121050_31623013_0	526483	501963	467150	0.83227	306.832
HG01361#1#JAGYYX010000012.1_51565085_51878780_0	HG02004.verkko_filt_mat.fa:haplotype1-0000022_97828542_98235483_0	313695	406941	312526	0.765789	309.167
HG02257#2#JAGYVH010000034.1_98190388_98857961_0	HG02723#2#JAHEOT010000034.1_19776337_20321518_1	667573	545181	470276	0.633387	521.73
HG02004.hifiasm_filt_mat.fa:h2tg000002l_25152988_25559927_1	HG02109#1#JAHEPG010000026.1_16673035_17080816_0	406939	407781	404694	0.986996	73.0205
HG02647.verkko_filt_pat.fa:haplotype2-0000857_103738150_104051769_0	HG03710.hifiasm_filt_mat.fa:h2tg000025l_86820256_87133924_0	313619	313668	311669	0.987488	62.8411
chr1_hg19_103998686_104406594_0	HG01928#1#JAGYVQ010000053.1_16676493_17083407_0	407908	406914	406773	0.996873	35.7211
HG01928#1#JAGYVQ010000053.1_16676493_17083407_0	HG02257#1#JAGYVI010000005.1_101835875_102242843_0	406914	406968	404407	0.987623	71.1899
NA18906#2#JAHEON010000009.1_93748295_94249275_0	HG02717#2#JAHAOR010000006.1_19663827_20070693_1	500980	406866	406589	0.811139	307.682
HG00733#1#JAHEPQ010000019.1_46106835_46420495_0	HG01952#1#JAHAME010000077.1_16663592_16976329_0	313660	312737	310679	0.98404	70.9859
HG02293.hifiasm_filt_mat.fa:h2tg000006l_103456831_103769570_0	HG01099.verkko_filt_mat.fa:haplotype1-0000034_142513097_142920876_1	312739	407779	312544	0.766088	308.917
HG03486#2#JAHEOP010000248.1_2105565_2584784_1	HG02723#1#JAHEOU010000204.1_2102082_2414876_1	479219	312794	312487	0.651658	408.704
HG002#1#JAHKSE010000012.1_16776806_17183707_1	HG005#2#JAHEPN010000023.1_51542210_51950070_0	406901	407860	404707	0.98696	73.1232
HG01123#2#JAGYYY010000006.1_51579630_51892388_0	HG02293.hifiasm_filt_mat.fa:h2tg000006l_103456831_103769570_0	312758	312739	310807	0.987661	62.3137
HG02647.hifiasm_filt_pat.fa:h1tg000015l_103709681_104023301_0	HG02572#1#JAHAOW010000072.1_9428131_9835964_0	313620	407833	311649	0.760483	313.297
HG01891#1#JAGYVO010000014.1_22855818_23168577_1	chr1_chm13_103304997_103901127_0	312759	596130	310700	0.519401	536.18
HG03540#2#JAGYVX010000148.1_1368955_1877115_0	HG03098#1#JAHEPM010000059.1_16676208_17105596_0	508160	429388	380594	0.683349	419.952
HG01978#1#JAGYVS010000002.1_51519970_52021951_0	HG03710.hifiasm_filt_pat.fa:h1tg000035l_103311655_103704662_0	501981	393007	374484	0.719464	382.126
HG02071.verkko_filt_pat.fa:haplotype2-0000736_102745972_103248026_0	HG02717#1#JAHAOS010000015.1_16660311_17067250_0	502054	406939	404474	0.801702	316.299
HG03710.hifiasm_filt_mat.fa:h2tg000025l_86820256_87133924_0	HG01258#2#JAGYYU010000072.1_51562603_51970395_0	313668	407792	311703	0.760702	313.136
HG03710.verkko_filt_mat.fa:haplotype1-0000029_102593394_102907063_0	HG03927.verkko_filt_pat.fa:haplotype2-0000800_29002142_29504057_1	313669	501914	313444	0.624218	434.39
NA20129#2#JAHEPD010000155.1_90039_569275_0	HG01071#1#JAHBCF010000053.1_26607100_27108065_1	479236	500965	471123	0.925444	194.82
HG02723#1#JAHEOU010000204.1_2102082_2414876_1	HG02071.verkko_filt_mat.fa:haplotype1-0000041_103610513_104018399_0	312794	407886	310751	0.758061	314.925
HG03516#1#JAGYYT010000012.1_24170958_24578778_1	HG01099.hifiasm_filt_pat.fa:h1tg000003l_56136922_56638856_1	407820	501934	407544	0.811501	307.678
NA19240#1#JAHEOM010000047.1_30103390_30511199_1	HG01361#1#JAGYYX010000012.1_51565085_51878780_0	407809	313695	313417	0.768015	307.685
HG002.hifiasm_filt_mat.fa:h2tg000010l_40221609_40629467_1	HG002#2#JAHKSD010000021.1_102757493_103165350_0	407858	407857	407800	0.999718	10.7238
HG03710.hifiasm_filt_pat.fa:h1tg000035l_103311655_103704662_0	HG02071.verkko_filt_pat.fa:haplotype2-0000736_102745972_103248026_0	393007	502054	374479	0.719347	382.234
HG00438#2#JAHBCA010000012.1_51513023_51826723_0	chr1_hg19_103998686_104406594_0	313700	407908	313606	0.768638	307.239
HG02630#2#JAHAOP010000089.1_16669255_17076135_0	HG03579#1#JAGYVU010000029.1_91404_499180_0	406880	407776	404435	0.985895	76.0658
HG01358#1#JAGYZB010000020.1_27445742_27855492_1	HG04228.verkko_filt_mat.fa:haplotype1-0000023_103429213_103930285_0	409750	501072	407609	0.810013	309.199
HG02071.verkko_filt_mat.fa:haplotype1-0000041_103610513_104018399_0	HG01978#1#JAGYVS010000002.1_51519970_52021951_0	407886	501981	407771	0.812138	307.124
HG01952#2#JAHAMD010000045.1_4381722_4883708_1	HG02818#2#JAHEOR010000010.1_31775319_32183091_1	501986	407772	407436	0.811105	308.036
HG01109#2#JAHEOZ010000047.1_16671232_17151375_0	NA20129#2#JAHEPD010000155.1_90039_569275_0	480143	479236	476881	0.988359	74.9466
HG03453#2#JAGYVV010000088.1_22597550_23005370_1	HG02109#2#JAHEPF010000078.1_16678387_16991144_0	407820	312757	310725	0.75814	314.844
HG02071.hifiasm_filt_pat.fa:h1tg000008l_103588591_104090646_0	HG01123#1#JAGYYZ010000015.1_51528240_51935090_0	502055	406850	404774	0.802914	315.209
HG01099.verkko_filt_mat.fa:haplotype1-0000034_142513097_142920876_1	HG02004.verkko_filt_pat.fa:haplotype2-0000813_139386576_140076845_1	407779	690269	407474	0.590051	532.071
HG02630#1#JAHAOQ010000102.1_16672145_17079089_0	HG01243#1#JAHEOY010000013.1_90081_424495_0	406944	334414	334168	0.820668	270.226
chr1_chm13_103304997_103901127_0	HG02630#1#JAHAOQ010000102.1_16672145_17079089_0	596130	406944	404539	0.675882	440.45
HG02145#1#JAHKSG010000134.1_2102465_2647653_1	HG02486#1#JAGYVM010000007.1_28868414_29370339_1	545188	501925	444932	0.738868	396.546
HG01361#2#JAGYYW010000015.1_51517456_51831163_0	HG002.hifiasm_filt_mat.fa:h2tg000010l_40221609_40629467_1	313707	407858	313430	0.767957	307.742
HG02647.verkko_filt_mat.fa:haplotype1-0000002_103892584_104321036_0	HG01928#1#JAGYVQ010000195.1_211_358290_0	428452	358079	174539	0.285198	661.402
HG02080#2#JAHEOV010000017.1_16662177_17164189_0	HG01258#1#JAGYYV010000004.1_56955948_57456952_1	502012	501004	498867	0.989523	72.6774
HG02145#2#JAHKSF010000206.1_1005292_1413195_1	HG02300.verkko_filt_mat.fa:haplotype1-0000028_144052837_144460586_1	407903	407749	405340	0.987882	70.5124
HG04228.hifiasm_filt_pat.fa:h1tg000014l_141188035_141500777_1	HG00621#1#JAHBCD010000034.1_2122997_2624098_1	312742	501101	310828	0.61793	438.391
HG02257#1#JAGYVI010000005.1_101835875_102242843_0	HG02647.verkko_filt_mat.fa:haplotype1-0000002_103892584_104321036_0	406968	428452	377995	0.826354	281.833
HG03579#1#JAGYVU010000029.1_91404_499180_0	HG02257#2#JAGYVH010000034.1_98190388_98857961_0	407776	667573	404873	0.603859	515.367
HG01175#1#JAHAMA010000003.1_33204707_33808232_1	HG02572#2#JAHAOV010000024.1_4460979_4890404_1	603525	429425	381131	0.584719	520.277
HG02886#1#JAHAOU010000178.1_62411_469262_0	HG04228.hifiasm_filt_pat.fa:h1tg000014l_141188035_141500777_1	406851	312742	312434	0.767351	307.774
HG02071.hifiasm_filt_mat.fa:h2tg000009l_103610644_104018525_0	HG002.verkko_filt_mat.fa:haplotype1-0000005_138228497_138636354_1	407881	407857	407666	0.999005	20.1494
HG02809.hifiasm_filt_pat.fa:h1tg000007l_103415673_103822536_0	HG03540#2#JAGYVX010000148.1_1368955_1877115_0	406863	508160	398668	0.772081	343.055
HG02559#2#JAGYVJ010000037.1_52167780_52574597_1	HG02145#2#JAHKSF010000206.1_1005292_1413195_1	406817	407903	406155	0.994101	49.0918
HG00621#1#JAHBCD010000034.1_2122997_2624098_1	HG02148#1#JAHAMG010000059.1_19799474_20206456_1	501101	406982	406808	0.811547	307.355
HG01258#2#JAGYYU010000072.1_51562603_51970395_0	HG02622#2#JAHAON010000012.1_51551779_52031001_0	407792	479222	406585	0.846296	271.743
NA18906#1#JAHEOO010000054.1_2103477_2510435_1	HG01099.hifiasm_filt_mat.fa:h2tg000003l_54930251_55338030_1	406958	407779	404388	0.985473	77.2075
HG002.hifiasm_filt_pat.fa:h1tg000009l_103664409_104071309_0	HG03453#2#JAGYVV010000088.1_22597550_23005370_1	406900	407820	404768	0.987355	72
HG002.verkko_filt_mat.fa:haplotype1-0000005_138228497_138636354_1	HG02293.verkko_filt_mat.fa:haplotype1-0000039_30204405_30517145_1	407857	312740	312624	0.766286	308.786
HG01106#2#JAHAMB010000008.1_19904771_20405763_1	NA18906#2#JAHEON010000009.1_93748295_94249275_0	500992	500980	498713	0.990967	67.424
HG02723#2#JAHEOT010000034.1_19776337_20321518_1	HG02559#1#JAGYVK010000012.1_51505852_51913611_0	545181	407759	405629	0.741131	376.407
HG02559#1#JAGYVK010000012.1_51505852_51913611_0	HG01099.verkko_filt_pat.fa:haplotype2-0000583_143544270_144046196_1	407759	501926	407666	0.812053	307.169
HG01099.hifiasm_filt_mat.fa:h2tg000003l_54930251_55338030_1	HG02148#2#JAHAMF010000050.1_19456870_19863761_1	407779	406891	404852	0.987882	70.4699
HG02109#2#JAHEPF010000078.1_16678387_16991144_0	HG01358#2#JAGYZA010000086.1_556_316498_0	312757	315942	165135	0.356229	546.287
chr1_hg38_103456064_103863972_0	HG03516#1#JAGYYT010000012.1_24170958_24578778_1	407908	407820	407378	0.99762	31.1769
HG01243#1#JAHEOY010000013.1_90081_424495_0	HG00621#2#JAHBCC010000031.1_16669999_17077865_0	334414	407866	332413	0.811027	278.306
HG00438#1#JAHBCB010000015.1_33474867_33954171_0	HG03710.verkko_filt_pat.fa:haplotype2-0000488_101614437_102218208_0	479304	603771	457197	0.730489	410.708
HG04228.hifiasm_filt_mat.fa:h2tg000030l_122_365721_0	HG02559#2#JAGYVJ010000037.1_52167780_52574597_1	365599	406817	269320	0.535325	483.504
HG03927.verkko_filt_mat.fa:haplotype1-0000009_134765170_135173010_1	HG00673#2#JAHBBY010000109.1_16675383_17177395_0	407840	502012	407480	0.811112	308.045
HG01109#1#JAHEPA010000099.1_2104245_2511104_1	HG00438#2#JAHBCA010000012.1_51513023_51826723_0	406859	313700	310774	0.758383	314.66
HG002#2#JAHKSD010000021.1_102757493_103165350_0	HG01361#2#JAGYYW010000015.1_51517456_51831163_0	407857	313707	313486	0.768201	307.558
HG02109#1#JAHEPG010000026.1_16673035_17080816_0	HG02300.hifiasm_filt_mat.fa:h2tg000006l_23303533_23711281_1	407781	407748	405670	0.989779	64.7225
HG02293.verkko_filt_mat.fa:haplotype1-0000039_30204405_30517145_1	HG002.hifiasm_filt_pat.fa:h1tg000009l_103664409_104071309_0	312740	406900	310732	0.759907	313.33
HG02004.hifiasm_filt_pat.fa:h1tg000006l_139372820_140063114_1	HG03540#1#JAGYVY010000208.1_95187_596142_0	690294	500955	500527	0.724643	436.114
HG01952#1#JAHAME010000077.1_16663592_16976329_0	HG02080#2#JAHEOV010000017.1_16662177_17164189_0	312737	502012	310743	0.616546	439.617
HG005#1#JAHEPO010000002.1_51519219_51926067_0	HG04228.verkko_filt_pat.fa:haplotype2-0000600_103806749_104119491_0	406848	312742	312513	0.7677	307.513
HG01358#2#JAGYZA010000086.1_556_316498_0	HG01175#2#JAHALZ010000031.1_43072077_43478977_1	315942	406900	261032	0.565237	448.083
HG02486#1#JAGYVM010000007.1_28868414_29370339_1	HG02647.verkko_filt_pat.fa:haplotype2-0000857_103738150_104051769_0	501925	313619	313345	0.623946	434.573
